provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Limón;2023;6;Junio;244.8;8.16;33.6;30
Limón;2023;7;Julio;470.8;15.19;48.7;31
Limón;2023;8;Agosto;354.3;11.43;41.5;31
Limón;2023;9;Setiembre;308.6;10.29;39.8;29
Limón;2023;10;Octubre;390.0;12.58;26.6;31
Limón;2023;11;Noviembre;462.2;15.41;63.8;30
Limón;2023;12;Diciembre;304.3;9.82;40.9;31
Limón;2024;1;Enero;130.1;4.2;15.7;31
Limón;2024;2;Febrero;220.6;7.61;41.2;25
Limón;2024;3;Marzo;59.1;1.91;8.3;27
Limón;2024;4;Abril;204.8;6.83;61.7;25
Limón;2024;5;Mayo;302.9;9.77;58.3;30
Limón;2024;6;Junio;335.3;11.18;37.8;30
Limón;2024;7;Julio;514.3;16.59;44.7;31
Limón;2024;8;Agosto;277.7;8.96;39.9;31
Limón;2024;9;Setiembre;282.6;9.42;23.7;30
Limón;2024;10;Octubre;460.0;14.84;41.2;31
Limón;2024;11;Noviembre;420.9;14.03;55.5;29
Limón;2024;12;Diciembre;544.9;17.58;56.4;31
Puntarenas;2018;1;Enero;64.6;2.08;11.9;24
Puntarenas;2018;2;Febrero;23.4;0.84;4.2;21
Puntarenas;2018;3;Marzo;10.5;0.34;4.1;9
Puntarenas;2018;4;Abril;115.9;3.86;16.6;30
Puntarenas;2018;5;Mayo;298.0;9.61;24.2;31
Puntarenas;2018;6;Junio;313.3;10.44;46.9;30
Puntarenas;2018;7;Julio;267.8;8.64;28.4;31
Puntarenas;2018;8;Agosto;244.6;7.89;27.1;31
Puntarenas;2018;9;Setiembre;381.8;12.73;72.0;30
Puntarenas;2018;10;Octubre;961.6;31.02;275.8;31
Puntarenas;2018;11;Noviembre;201.8;6.73;46.9;30
Puntarenas;2018;12;Diciembre;20.5;0.66;4.1;16
Puntarenas;2019;1;Enero;3.5;0.11;2.3;5
Puntarenas;2019;2;Febrero;1.5;0.05;0.7;3
Puntarenas;2019;3;Marzo;1.4;0.05;0.6;4
Puntarenas;2019;4;Abril;58.1;1.94;11.1;28
Puntarenas;2019;5;Mayo;772.7;24.93;118.4;31
Puntarenas;2019;6;Junio;325.9;10.86;59.2;30
Puntarenas;2019;7;Julio;214.6;6.92;25.7;31
Puntarenas;2019;8;Agosto;329.7;10.64;49.5;30
Puntarenas;2019;9;Setiembre;481.6;16.05;178.1;30
Puntarenas;2019;10;Octubre;785.0;25.32;133.8;31
Puntarenas;2019;11;Noviembre;183.9;6.13;21.3;30
Puntarenas;2019;12;Diciembre;138.1;4.45;29.3;28
Puntarenas;2020;1;Enero;46.5;1.5;10.1;18
Puntarenas;2020;2;Febrero;8.0;0.28;3.1;11
Puntarenas;2020;3;Marzo;22.0;0.71;5.2;19
Puntarenas;2020;4;Abril;64.3;2.14;9.5;28
Puntarenas;2020;5;Mayo;474.5;15.31;209.8;31
Puntarenas;2020;6;Junio;369.0;12.3;56.8;30
Puntarenas;2020;7;Julio;388.8;12.54;48.8;31
Puntarenas;2020;8;Agosto;876.0;28.26;133.5;31
Puntarenas;2020;9;Setiembre;391.9;13.06;49.0;30
Puntarenas;2020;10;Octubre;821.2;26.49;93.3;31
Puntarenas;2020;11;Noviembre;576.2;19.21;112.8;30
Puntarenas;2020;12;Diciembre;169.2;5.46;43.9;29
Puntarenas;2021;1;Enero;55.2;1.78;9.8;21
Puntarenas;2021;2;Febrero;22.5;0.8;6.1;18
